Заголовок:Наші партнери

Дата: ----------
URL: https://nau.edu.ua/ua/menu/quality/nashi-partneri/
==================================================
Наші партнери
 

КРАЇНА	Назва установи	№ угоди	Дата підписання	Термін дії
АЗЕРБАЙДЖАН	Товариство з обмеженою відповідальністюариство з обмеженою відповідальністю  «ISTL Azeri»	61-2018/UA-AZ	15.02.2018	15.02.2023
БЕЛЬГІЯ 	Європейська мережа Центрів бізнесу та інновацій EBN	14-2011/UA-BE	17.10.2011	безстроковий
БОЛГАРІЯ	Товариство з обмеженою відповідальністюариство з обмеженою відповідальністю "IKARION LTD"	80-2018/UA-BG	05.09.2018	05.09.2019
ГРЕЦІЯ	Європейська організація публічного права 	23-2019/UA-CN	02.07.2019	02.07.2023
ІНДІЯ	Підприємство D'Group Systems Private Limited	20-2019/UA-IN	21.05.2019	21.05.2023
ІНДІЯ	Компанія «Титан Груп»	11-2016/UA-IN	14.10.2016	14.10.2019
ІРАН	AVIN Group
Iran Society of Aviation Specialists	103-2018/UA-IR	-	-
ІРАН	Об’єднання авіаційних спеціалістів з Ірану 	10-2017/UA-IR	15.03.2017	безстроковий
ІСПАНІЯ	Пілдо Консалтинг С.Л.	14-2013/UA-ES	27.07.2013	2023 p.
ІСПАНІЯ	G.B. Group Companies and Avionicat	09-2014/UA-ES	21.07.2014	-
ІТАЛІЯ	Генф Інтернешнал Консалтінг 	29-2019/UA-IT	25.07.2019	-
КАЗАХСТАН	Товариство з обмеженою відповідальністюариство з обмеженою відповідальністю "Каспіан Рейдіо Сервісес"	83-2018/UA-KA	26.06.2018	26.06.2028
КАНАДА	ІКАО  	107-2018/UA-CA	12.12.2018	-
КАНАДА	Лабо Концентрейшин Інк. 	17-2017/UA-CA	12.06.2017	-
КИТАЙ	Товариство з обмеженою відповідальністюариство з обмеженою відповідальністю  «ГОЛДЕН ЕҐ ТЕКНОЛОДЖІ»	26-2019/UA-CN	19.07.2019	-
КИТАЙ	China Southern Airlines 	21-2019/UA-CN	21.06.2019	21.06.2023
КИТАЙ	Шиндунська компанія авіаційних двигунів Фейао	19-2019/UA-CN	25.06.2019	-
КИТАЙ	Xinjiang Communications Construction Group Co., Ltd	56-2018/UA-CN	01.02.2018	-
