Заголовок:Перелік галузей знань, спеціальностей та освітніх програм підготовки здобувачів вищої освіти
на першому (бакалаврському), другому (магістерському) та третьому (освітньо-науковому) рівнях вищої освіти та сертифікатів про акредитацію
Дата: ----------
URL: https://docs.google.com/spreadsheets/d/1UyHKOsqxT8RUAy0adTHsiS_KUQVzdYI1AedOw5A1z5E/edit?gid=0#gid=0
==================================================
"Перелік галузей знань, спеціальностей та освітніх програм підготовки здобувачів вищої освіти
на першому (бакалаврському), другому (магістерському) та третьому (освітньо-науковому) рівнях вищої освіти та сертифікатів про акредитацію"									
№ пор	"Шифр та найменування 
галузі знань"	Шифр та найменування спеціальності	"ID
 освітньої програми в ЄДЕБО"	"Найменування 
освітньої програми (спеціалізації)"	"Рівень
 вищої освіти"	"Серія та номер сертифіката про акредитацію (ОП – за освітньою програмою;
 С – за спеціальністю)"	"Дата видачі та строк дії сертифіката про акредитацію 
освітньої програми"	"Організація 
(відомство) що
видала сертифікат
про акредитацію
освітньої програми"	Факультет/ Навчально- науковий інститут
1	"01
 Освіта/Педагогіка"	011 Освітні, педагогічні науки	35763	"Інформаційно- комунікаційні технології в освіті
Набір припинено з 2024 р."	Другий (магістерський)	"№ 1131
 (ОП)"	"29.01.2021
01.07.2026"	Національне агентство із забезпечення якості вищої освіти 	Навчально- науковий інститут неперервної освіти
2	"01
 Освіта/Педагогіка"	015 Професійна освіта	49883	Професійна освіта	Третій (освітньо- науковий)	"№9238
 (ОП)"	"28.10.2024
22.10.2025"	Національне агентство із забезпечення якості вищої освіти 	Факультет лінгвістики та соціальних комунікацій
3	02 Культура і мистецтво	022 Дизайн	53522	IT-дизайн	Перший (бакалаврський)	УД №11005616 (С)	"12.09.2018
01.07.2028"	Міністерство освіти і науки України	Факультет наземних споруд і аеродромів 
4	02 Культура і мистецтво	022 Дизайн	8937	Дизайн	Перший (бакалаврський)	УД №11005616 (С)	"12.09.2018
01.07.2028"	Міністерство освіти і науки України	Факультет наземних споруд і аеродромів 
5	02 Культура і мистецтво	022 Дизайн	17197	Дизайн	Другий (магістерський)	УД №11005794 (ОП)	"12.11.2018
01.07.2025"	Міністерство освіти і науки України	Факультет наземних споруд і аеродромів 
6	02 Культура і мистецтво	029 Інформаційна, бібліотечна та архівна справа	46962	Інформаційна аналітика та соціальні комунікації	Перший (бакалаврський)	НД №1191102 (С)	"30.08.2017
01.07.2027"	Міністерство освіти і науки України	Факультет лінгвістики та соціальних комунікацій
7	02 Культура і мистецтво	029 Інформаційна, бібліотечна та архівна справа	7088	Документознавство та інформаційна діяльність	Перший (бакалаврський)	НД №1191102 (С)	"30.08.2017 01.07.2027
"	Міністерство освіти і науки України	Факультет лінгвістики та соціальних комунікацій
8	02 Культура і мистецтво	029 Інформаційна, бібліотечна та архівна справа	16504	Документознавство та інформаційна діяльність	Другий (магістерський)	"№6414
(ОП)"	"14.12.2023
01.07.2029"	Національне агентство із забезпечення якості вищої освіти 	Факультет лінгвістики та соціальних комунікацій
9	03 Гуманітарні науки	033 Філософія	33819	Філософія комунікації	Другий (магістерський)	"№ 2922 
(ОП)"	"01.02.2022
01.07.2027
"	Національне агентство із забезпечення якості вищої освіти 	Факультет лінгвістики та соціальних комунікацій
10	03 Гуманітарні науки	035 Філологія	26692	"Германські мови та літератури (переклад включно), перша англійська
035.041 Германські мови та літератури (переклад включно), перша англійська"	Перший (бакалаврський)	НД №1191103 (С)	"30.08.2017
01.07.2025"	Міністерство освіти і науки України	Факультет лінгвістики та соціальних комунікацій
11	03 Гуманітарні науки	035 Філологія	24280	"Германські мови та літератури (переклад включно), перша англійська
035.041 Германські мови та літератури (переклад включно), перша англійська"	Другий (магістерський)	НД №1191150 (С)	"30.08.2017
01.07.2025"	Міністерство освіти і науки України	Факультет лінгвістики та соціальних комунікацій
12	05 Соціальні та поведінкові науки	051 Економіка	8667	Економічна кібернетика	Перший (бакалаврський)	НД №1193805 (С)	"31.10.2017
01.07.2027"	Міністерство освіти і науки України	Факультет економіки та бізнес- адміністрування
13	05 Соціальні та поведінкові науки	051 Економіка	6335	Економічна кібернетика	Другий (магістерський)	"№6438
 (ОП)"	"14.12.2023
01.07.2029"	Національне агентство із забезпечення якості вищої освіти 	Факультет економіки та бізнес- адміністрування
14	05 Соціальні та поведінкові науки	051 Економіка	32938	Цифрова економіка	Перший (бакалаврський)	НД №1193805 (С)	"31.10.2017
01.07.2027"	Міністерство освіти і науки України	Факультет економіки та бізнес- адміністрування
15	05 Соціальні та поведінкові науки	051 Економіка	33857	Цифрова економіка	Другий (магістерський)	"№ 800
(ОП)"	"19.11.2020
01.07.2026"	Національне агентство із забезпечення якості вищої освіти 	Факультет економіки та бізнес- адміністрування
16	05 Соціальні та поведінкові науки	051 Економіка	7525	Міжнародна економіка	Перший (бакалаврський)	НД №1193805 (С)	"31.10.2017
01.07.2027"	Міністерство освіти і науки України	Факультет економіки та бізнес- адміністрування
17	05 Соціальні та поведінкові науки	051 Економіка	7972	Міжнародна економіка	Другий (магістерський)	"№9230
(ОП)"	"28.10.2024
22.10.2025"	Національне агентство із забезпечення якості вищої освіти 	Факультет економіки та бізнес- адміністрування
18	05 Соціальні та поведінкові науки	051 Економіка	7852	Економіка підприємства	Перший (бакалаврський)	НД №1193805 (С)	"31.10.2017
01.07.2027"	Міністерство освіти і науки України	"Факультет економіки та бізнес-
 адміністрування"
19	05 Соціальні та поведінкові науки	051 Економіка	6376	Економіка підприємства	Другий (магістерський)	"№6435
(ОП)"	"14.12.2023
01.07.2029"	Національне агентство із забезпечення якості вищої освіти 	Факультет економіки та бізнес- адміністрування
20	05 Соціальні та поведінкові науки	051 Економіка	49902	Економіка	Третій (освітньо- науковий)	"№ 8890
(ОП)"	"25.06.2024
01.07.2029"	Національне агентство із забезпечення якості вищої освіти 	Факультет економіки та бізнес- адміністрування
21	05 Соціальні та поведінкові науки	052 Політологія	32945	Політологія	Перший (бакалаврський)	"№7804
(ОП)"	"16.05.2024
14.05.2025"	Національне агентство із забезпечення якості вищої освіти 	Факультет міжнародних відносин
22	05 Соціальні та поведінкові науки	053 Психологія	16501	Практична психологія	Перший (бакалаврський)	"НД №1193804
 (С)"	"31.10.2017
01.07.2027"	Міністерство освіти і науки України	Факультет лінгвістики та соціальних комунікацій
23	05 Соціальні та поведінкові науки	053 Психологія	26755	Практична психологія	Другий (магістерський)	"№ 135
 (ОП)"	"28.01.2020
28.01.2025"	Національне агентство із забезпечення якості вищої освіти 	Факультет лінгвістики та соціальних комунікацій
24	05 Соціальні та поведінкові науки	053 Психологія	26742	Психологія бізнесу	Перший (бакалаврський)	"НД №1193804
 (С)"	"31.10.2017
01.07.2027"	Міністерство освіти і науки України	Факультет лінгвістики та соціальних комунікацій
25	05 Соціальні та поведінкові науки	053 Психологія	26754	"Психологія бізнесу
Набір припинено з 2024 р."	Другий (магістерський)	"№ 134
 (ОП)"	"28.01.2020
28.01.2025"	Національне агентство із забезпечення якості вищої освіти 	Факультет лінгвістики та соціальних комунікацій
26	05 Соціальні та поведінкові науки	053 Психологія	47155	Психологія екстремальних і кризових ситуацій	Другий (магістерський)	"№ 3768
 (ОП)"	"19.12.2022
01.07.2028"	Національне агентство із забезпечення якості вищої освіти 	Навчально- науковий інститут неперервної освіти
27	05 Соціальні та поведінкові науки	053 Психологія	6938	Психологія	Перший (бакалаврський)	"НД №1193804
 (С)"	"31.10.2017
01.07.2027"	Міністерство освіти і науки України	Факультет лінгвістики та соціальних комунікацій
28	05 Соціальні та поведінкові науки	053 Психологія	8932	Психологія	Другий (магістерський)	"№9229
 (ОП)"	"28.10.2024
22.10.2025"	Національне агентство із забезпечення якості вищої освіти 	Факультет лінгвістики та соціальних комунікацій
29	05 Соціальні та поведінкові науки	053 Психологія	49903	Психологія	Третій (освітньо- науковий)	"№ 4482 
(ОП)"	"02.06.2023
01.07.2028"	Національне агентство із забезпечення якості вищої освіти 	Факультет лінгвістики та соціальних комунікацій
30	05 Соціальні та поведінкові науки	054 Соціологія	24159	"Соціологічна експертиза соціально-політичних процесів
Набір припинено з 2023 р."	Перший (бакалаврський)	НД №1191104 (С)	"30.08.2017
01.07.2025"	Міністерство освіти і науки України	Факультет міжнародних відносин
31	05 Соціальні та поведінкові науки	054 Соціологія	9482	Соціологія	Перший (бакалаврський)	НД №1191104 (С)	"30.08.2017
01.07.2025"	Міністерство освіти і науки України	Факультет міжнародних відносин
32	05 Соціальні та поведінкові науки	054 Соціологія	17198	Соціологія	Другий (магістерський)	УД №11005798 (ОП)	"12.11.2018
01.07.2025"	Міністерство освіти і науки України	Факультет міжнародних відносин
