Заголовок:Спеціальності, мінімальний конкурсний бал на бюджет у 2023 році та максимальний обсяг прийому на бюджет у 2024 році!


Дата: ----------
URL: https://pk.kai.edu.ua/obsiah-pryiomu-na-biudzhet-u-2024-rotsi-pzso/
==================================================
Спеціальності, мінімальний конкурсний бал на бюджет у 2023 році та максимальний обсяг прийому на бюджет у 2024 році!

До уваги вступників 2024 року денної форми навчання ОС “Бакалавр” на основі повної загальної середньої освіти (11 клас) Приймальна комісія НАУ надає інформацію щодо спеціальностей, мінімального конкурсного балу на бюджет у 2023 році та максимального обсягу прийому на бюджет у 2024 році.

Для отримання більш детальної інформації про спеціальності НАУ перейдіть за покликанням.

У разі виникнення труднощів з визначенням спеціальності яка підходить саме Вам, пропонуємо пройти профорієнтаційний тест.

Спеціальність	Мінімальний конкурсний бал на бюджет у 2023 році	Максимальний обсяг прийому на бюджет у 2024 році
029 «Інформаційна, бібліотечна та архівна справа»	143,167	12
035 «Філологія»	176,455	15
051 «Економіка»	170,167	19
052 «Політологія»	–	5
053 «Психологія»	189,900	11
054 «Соціологія»	–	5
061 «Журналістика»	181,300	5
071 «Облік і оподаткування»	171,850	5
072 «Фінанси, банківська справа, страхування та фондовий ринок»	175,850	6
073 «Менеджмент»	170,050	33
075 «Маркетинг»	171,650	10
076 «Підприємництво та торгівля»	–	6
081 «Право»	180,750	6
101 «Екологія»	132,400	30
113 «Прикладна математика»	159,500	12
121 «Інженерія програмного забезпечення»	167,455	100
122 «Комп’ютерні науки»	157,273	117
123 «Комп’ютерна інженерія»	157,300	131
125 «Кібербезпека та захист інформації»	157,182	206
126 «Інформаційні системи та технології»	165,100	8
131 «Прикладна механіка»	134,797	15
134 «Авіаційна та ракетно-космічна техніка»	131,423	77
141 «Електроенергетика, електротехніка та електромеханіка»	132,702	50
142 «Енергетичне машинобудування»	132,600	15
161 «Хімічні технології та інженерія»	130,638	25
162 «Біотехнології та біоінженерія»	136,750	35
163 «Біомедична інженерія»	132,400	21
171 «Електроніка»	132,400	41
172 «Електронні комунікації та радіотехніка»	130,764	81
173 «Авіоніка»	130,866	38
174 «Автоматизація, комп’ютерно-інтегровані технології та робототехніка»	130,254	53
176 «Мікро- та наносистемна техніка»	148,818	9
186 «Видавництво та поліграфія»	156,444	23
191 «Архітектура та містобудування»	190,000	30
192 «Будівництво та цивільна інженерія»	144,154	36
193 «Геодезія та землеустрій»	143,905	19
231 «Соціальна робота»	148,150	12
242 «Туризм і рекреація»	178,333	5
263 «Цивільна безпека»	159,000	24
272 «Авіаційний транспорт»	135,538	181
275 «Транспортні технології»	147,900	95
281 «Публічне управління та адміністрування»	–	5
291 «Міжнародні відносини, суспільні комунікації та регіональні студії»	183,300	5
292 «Міжнародні економічні відносини»	–	5
293 «Міжнародне право»	187,600	6
