Заголовок:Списки рекомендованих до зарахування 2025 (НРК5, денна)

Дата: ----------
URL: https://pk.kai.edu.ua/spysky-rekomendovanyh-do-zarahuvannya-2025-nrk5-denna/
==================================================
Списки рекомендованих до зарахування 2025 (НРК5, денна)
Код і назва спеціальності	Назва програми	Файл
D2 Фінанси, банківська справа, страхування та фондовий ринок	Фінанси і кредит	
D5 Маркетинг	Маркетинг	
F2 Інженерія програмного забезпечення	Інженерія програмного забезпечення (з EPAM (Товариство з обмеженою відповідальністю «ЕПАМ ЛТД») - українська / англійська	
F5 Кібербезпека та захист інформації	Технічний захист інформації	
F6 Інформаційні системи і технології	Інформаційні системи та технології (з асоціацією «ЛЬВІВСЬКИЙ КЛАСТЕР ІНФОРМАЦІЙНИХ ТЕХНОЛОГІЙ ТА БІЗНЕС-ПОСЛУГ»)	
F7 Комп'ютерна інженерія	Комп'ютерні системи та мережі (з Товариством з обмеженою відповідальністю «ПАВУТИНА ІНТЕРНЕТ») - українська / англійська	
F7 Комп'ютерна інженерія	Системне програмування	
G12 Авіаційна та ракетно-космічна техніка	Авіоніка (з Акціонерним товариством «АНТОНОВ») - українська / англійська	
G18 Геодезія та землеустрій	Геодезія, землеустрій, геоінформаційні системи	
G20 Видавництво та поліграфія	Технології електронних мультимедійних видань	
G3 Електрична інженерія	Електротехнічні системи електроспоживання	
G5 Електроніка, електронні комунікації, приладобудування та радіотехніка	Електронні системи	
G5 Електроніка, електронні комунікації, приладобудування та радіотехніка	Електронні технології протезування - українська / англійська	
G5 Електроніка, електронні комунікації, приладобудування та радіотехніка	Системи мобільного зв’язку	
G5 Електроніка, електронні комунікації, приладобудування та радіотехніка	Телекомунікаційні системи та мережі (з ТОВ «ХУАВЕЙ УКРАЇНА»)	
G5 Електроніка, електронні комунікації, приладобудування та радіотехніка	Мікрокомп’ютерні біомедичні системи	
G7 Автоматизація, комп’ютерно-інтегровані технології та робототехніка	Комп`ютерно-інтегровані технологічні процеси і виробництва	
G7 Автоматизація, комп’ютерно-інтегровані технології та робототехніка	Комп'ютерно-інтегровані робототехнічні системи та комплекси	
G7 Автоматизація, комп’ютерно-інтегровані технології та робототехніка	Комп’ютеризовані системи управління та автоматика (з ПРОФІ РОБОТИКС, ДТЕК) - українська / англійська	
J6 Авіаційний транспорт	Дистанційний пілот БПЛА - українська / англійська	
J6 Авіаційний транспорт	Мультимодальний транспорт і логістика (з КОНСОЛЬЛАЙН УКРАЇНА) - українська / англійська	
J6 Авіаційний транспорт	Організація перевезень (з ДП «МА «БОРИСПІЛЬ») - українська / англійська	
J6 Авіаційний транспорт	Технічне обслуговування повітряних суден - українська / англійська	
