Заголовок:Списки рекомендованих до зарахування 2025 (ПЗСО, денна)

Дата: ----------
URL: https://pk.kai.edu.ua/spysky-rekomendovanyh-2025-pzso-denna/
==================================================
Списки рекомендованих до зарахування 2025 (ПЗСО, денна)
Код і назва спеціальності	Назва програми	Файл
B11 Філологія	Германські мови та літератури (філологія та переклад), англійська та німецька (з Товариством з обмеженою відповідальністю «ПОСТМОДЕРН» та FILM.UA (Товариством з обмеженою відповідальністю «ФІЛЬМ Ю ЕЙ ПРОДАКШН»))	
B2 Дизайн	ІТ-дизайн	
B2 Дизайн	Дизайн інтер'єрів та громадських просторів	
C1 Економіка та міжнародні економічні відносини	Економіка та міжнародні економічні відносини (з UGLA.UA та Товариством з обмеженою відповідальністю «ДТЕК СЕРВІС»)	
C1 Економіка та міжнародні економічні відносини	Економічна аналітика інструментами Data Science (з UGLA.UA)	
C1 Економіка та міжнародні економічні відносини	Міжнародні економічні відносини	
C2 Політологія	Політологія (з громадською організацією «Аналітичний Центр Політика») - українська / англійська	
C3 Міжнародні відносини	Міжнародні стратегічні комунікації	
C4 Психологія	Психологія - українська / англійська	
C5 Соціологія	Соціологія	
C7 Журналістика	Журналістика (з Товариством з обмеженою відповідальністю «ТЕЛЕРАДІОКОМПАНІЯ «СТУДІЯ 1+1») - українська / англійська	
D1 Облік і оподаткування	Облік і оподаткування (з SUP)	
D2 Фінанси, банківська справа, страхування та фондовий ринок	Фінанси, банківська справа, страхування та фондовий ринок (з SUP)	
D3 Менеджмент	Логістика (з Товариством з обмеженою відповідальністю «ФТП») - українська / англійська	
D3 Менеджмент	Менеджмент організацій (з Акціонерним товариством "УКРАЇНСЬКА ЗАЛІЗНИЦЯ") - українська / англійська	
D4 Публічне управління та адміністрування	Публічне управління та адміністрування (з Національною агенцією України з питань державної служби)	
D5 Маркетинг	Маркетинг (з Товариством з обмеженою відповідальністю «ДЖОІН-АП!» та Всеукраїнською громадською організацією «Всеукраїнська рекламна коаліція») - українська / англійська	
D7 Торгівля	Підприємництво (з Асоціацією митних брокерів України та Громадською організацією «Спілка підприємців малих, середніх і приватизованих підприємств України»)	
D8 Право	Право	
D9 Міжнародне право	Міжнародне право	
E1 Біологія та біохімія	Молекулярна біологія і нейронаука (з Національною академією наук України) - українська / англійська	
E2 Екологія	Екологія та охорона навколишнього середовища - українська / англійська	
E6 Прикладна фізика та наноматеріали	Прикладна фізика (з Національною академією наук України)	
F1 Прикладна математика	Прикладне програмне забезпечення	
F2 Інженерія програмного забезпечення	Embedded програмування - укр/eng	
F2 Інженерія програмного забезпечення	Інженерія програмного забезпечення (з EPAM (Товариство з обмеженою відповідальністю «ЕПАМ ЛТД») - українська / англійська	
F3 Комп'ютерні науки	Аналітика даних та штучний інтелект (з Товариством з обмеженою відповідальністю «КВАНТ СИСТЕМС»)	
F3 Комп'ютерні науки	Технології управління комп’ютерними системами	
F3 Комп'ютерні науки	Цифрові технології проєктування	
F5 Кібербезпека та захист інформації	Безпека інформаційних і комунікаційних систем (з CYBER UNIT (Товариство з обмеженою відповідальністю «САЙБЕР ЮНІТ»))	
F5 Кібербезпека та захист інформації	Інтелектуальні системи безпеки (з компанією AxxonSoft) - українська / англійська	
F5 Кібербезпека та захист інформації	Технічний захист інформації	
F6 Інформаційні системи і технології	Інформаційні системи та технології (з асоціацією «ЛЬВІВСЬКИЙ КЛАСТЕР ІНФОРМАЦІЙНИХ ТЕХНОЛОГІЙ ТА БІЗНЕС-ПОСЛУГ»)	
F6 Інформаційні системи і технології	Інформаційні системи та технології. Мюнхенський проєкт	
F7 Комп'ютерна інженерія	Комп'ютерні системи та мережі (з Товариством з обмеженою відповідальністю «ПАВУТИНА ІНТЕРНЕТ») - українська / англійська	
F7 Комп'ютерна інженерія	Системне програмування	
G1 Хімічні технології та інженерія	Хімічні технології лікарських речовин та медичних виробів (з Приватним акціонерним товариством «По виробництву інсуліну «ІНДАР») - українська / англійська	
G1 Хімічні технології та інженерія	Хімічні технології традиційних та альтернативних енергоресурсів - українська / англійська	
G11 Машинобудування	Авіаційні двигуни та енергетичні установки (з Акціонерним товариством «НАЦІОНАЛЬНА АКЦІОНЕРНА КОМПАНІЯ «НАФТОГАЗ УКРАЇНИ» та Акціонерним товариством «ЗАПОРІЗЬКЕ МАШИНОБУДІВНЕ КОНСТРУКТОРСЬКЕ БЮРО ПРОГРЕС ІМЕНІ АКАДЕМІКА О.Г.ІВЧЕНКА»)	
G12 Авіаційна та ракетно-космічна техніка	Інженерія безпілотних авіаційних комплексів (з AIRLOGIX (Товариство з обмеженою відповідальністю «ЕЙРЛОДЖИКС»)) - українська / англійська	
G12 Авіаційна та ракетно-космічна техніка	Авіоніка (з Акціонерним товариством «АНТОНОВ») - українська / англійська	
G12 Авіаційна та ракетно-космічна техніка	Конструювання, технології виробництва та сервісний інжиніринг літальних апаратів (з Товариством з обмеженою відповідальністю «ПРОГРЕСТЕХ-УКРАЇНА») - українська / англійська	
G12 Авіаційна та ракетно-космічна техніка	Проєктування літаків, вертольотів та систем безпілотних літальних апаратів (з Акціонерним товариством «АНТОНОВ»)	
G17 Архітектура та містобудування	Архітектура (з архітектурною майстернею Дмитра Аранчія (Dmytro Aranchii Architects))	
G18 Геодезія та землеустрій	Геодезія, землеустрій, геоінформаційні системи	
G19 Будівництво та цивільна інженерія	Будівельна інженерія на основі штучного інтелекту	
G19 Будівництво та цивільна інженерія	Промислове і цивільне будівництво з використанням штучного інтелекту - українська / англійська	
G21 Біотехнології та біоінженерія	Фармацевтична та екологічна біотехнологія - українська / англійська	
G22 Біомедична інженерія	Біомедична інженерія (з Товариством з обмеженою відповідальністю «ХАРВІНД»)	
G22 Біомедична інженерія	Інженерія допоміжної мобільності (з Товариством з обмеженою відповідальністю «ОСТЕОНІКА» та Товариством з обмеженою відповідальністю «ХАРВІНД»)	
G3 Електрична інженерія	Електротехнічні системи електроспоживання	
G3 Електрична інженерія	Енергетичний менеджмент	
G5 Електроніка, електронні комунікації, приладобудування та радіотехніка	Електроніка (з AJAX SYSTEMS MANUFACTURING (Товариство з обмеженою відповідальністю «АДЖАКС СІСТЕМС МАНЮФЕКЧУРІНГ» та асоціацією «ЛЬВІВСЬКИЙ КЛАСТЕР ІНФОРМАЦІЙНИХ ТЕХНОЛОГІЙ ТА БІЗНЕС-ПОСЛУГ») - українська / англійська	
G5 Електроніка, електронні комунікації, приладобудування та радіотехніка	Телекомунікаційні системи та мережі (з HUAWEI - Товариство з обмеженою відповідальністю «ХУАВЕЙ УКРАЇНА»)	
G5 Електроніка, електронні комунікації, приладобудування та радіотехніка	Мікрокомп’ютерні біомедичні системи	
G7 Автоматизація, комп’ютерно-інтегровані технології та робототехніка	Автоматизація, комп’ютерно-інтегровані технології та робототехніка	
G7 Автоматизація, комп’ютерно-інтегровані технології та робототехніка	Комп'ютерно-інтегровані робототехнічні системи та комплекси	
G7 Автоматизація, комп’ютерно-інтегровані технології та робототехніка	Комп’ютеризовані системи управління та автоматика (з PROFI ROBOTICS (Товариством з обмеженою відповідальністю «ПРОФІ РОБОТИКС») та Приватним акціонерним товариством «ДТЕК КИЇВСЬКІ ЕЛЕКТРОМЕРЕЖІ») - українська / англійська	
G9 Прикладна механіка	Інженерія композиційних матеріалів в БПЛА, авіа- та машинобудуванні	
I10 Соціальна робота та консультування	Соціальна робота та волонтерські проєкти (з Благодійною Організацією «Міжнародний благодійний фонд «Повернись живим») - українська / англійська	
J2 Готельно-ресторанна справа та кейтеринг	Готельно-ресторанний сервіс та авіакейтеринг (зі Школою гостинності «ХоРеКа Скул»)	
J3 Туризм та рекреація	Логістика міжнародного туризму (з Товариством з обмеженою відповідальністю «ТРЕВЕЛ ПРОФЕШНЛ ГРУП» та Товариством з обмеженою відповідальністю "ФТП" ) - українська / англійська	
J3 Туризм та рекреація	Міжнародний туризм (з Товариством з обмеженою відповідальністю «Агентство «Пан-Укрейн») - українська / англійська	
J6 Авіаційний транспорт	Дистанційний пілот безпілотного повітряного судна - українська / англійська	
J6 Авіаційний транспорт	Бортовий супровід авіаційних пасажирських перевезень (з Товариством з обмеженою відповідальністю «АВІАКОМПАНІЯ СКАЙАП») - українська / англійська	
J6 Авіаційний транспорт	Льотна експлуатація повітряних суден (підготовка пілотів) - українська / англійська	
J6 Авіаційний транспорт	Мультимодальний транспорт і логістика (з Товариством з обмеженою відповідальністю «КОНСОЛЬЛАЙН УКРАЇНА») - українська / англійська	
J6 Авіаційний транспорт	Авіадиспетчер (з Державним підприємством «МІЖНАРОДНИЙ АЕРОПОРТ «БОРИСПІЛЬ») - українська / англійська	
J6 Авіаційний транспорт	Організація перевезень і управління на транспорті (з Державним підприємством «МІЖНАРОДНИЙ АЕРОПОРТ «БОРИСПІЛЬ») - українська / англійська	
J6 Авіаційний транспорт	Аеронавігація і безпілотні авіаційні системи (з Державним підприємством обслуговування повітряного руху України «УКРАЕРОРУХ» та Державною авіаційною службою України) - українська / англійська	
J6 Авіаційний транспорт	Технічне обслуговування повітряних суден - українська / англійська	
J6 Авіаційний транспорт	Менеджмент технології аеропортів (з Державним підприємством «МІЖНАРОДНИЙ АЕРОПОРТ «БОРИСПІЛЬ») - українська / англійська	
K9 Правоохоронна діяльність	Правоохоронна діяльність	
