Заголовок:Списки рекомендованих до зарахування 2025 (ПЗСО, дистанційна)

Дата: ----------
URL: https://pk.kai.edu.ua/spysky-rekomendovanyh-do-zarahuvannya-2025-pzso-dystanczijna/
==================================================
Списки рекомендованих до зарахування 2025 (ПЗСО, дистанційна)
Код і назва спеціальності	Назва програми	Файл
B11 Філологія	Германські мови та літератури (філологія та переклад), англійська та німецька (з Товариством з обмеженою відповідальністю «ПОСТМОДЕРН» та FILM.UA (Товариством з обмеженою відповідальністю «ФІЛЬМ Ю ЕЙ ПРОДАКШН»))	
B2 Дизайн	ІТ-дизайн	
C1 Економіка та міжнародні економічні відносини	Міжнародні економічні відносини	
C4 Психологія	Психологія - українська / англійська	
D3 Менеджмент	Логістика (з Товариством з обмеженою відповідальністю «ФТП») - українська / англійська	
E2 Екологія	Екологія та охорона навколишнього середовища - українська / англійська	
F2 Інженерія програмного забезпечення	Інженерія програмного забезпечення (з EPAM (Товариство з обмеженою відповідальністю «ЕПАМ ЛТД») - українська / англійська	
F3 Комп'ютерні науки	Цифрові технології проєктування	
F5 Кібербезпека та захист інформації	Інтелектуальні системи безпеки (з компанією AxxonSoft) - українська / англійська	
F6 Інформаційні системи і технології	Інформаційні системи та технології (з асоціацією «ЛЬВІВСЬКИЙ КЛАСТЕР ІНФОРМАЦІЙНИХ ТЕХНОЛОГІЙ ТА БІЗНЕС-ПОСЛУГ»)	
F7 Комп'ютерна інженерія	Комп'ютерні системи та мережі (з Товариством з обмеженою відповідальністю «ПАВУТИНА ІНТЕРНЕТ») - українська / англійська	
G1 Хімічні технології та інженерія	Хімічні технології лікарських речовин та медичних виробів (з Приватним акціонерним товариством «По виробництву інсуліну «ІНДАР») - українська / англійська	
G12 Авіаційна та ракетно-космічна техніка	Авіоніка (з Акціонерним товариством «АНТОНОВ») - українська / англійська	
G12 Авіаційна та ракетно-космічна техніка	Конструювання, технології виробництва та сервісний інжиніринг літальних апаратів (з Товариством з обмеженою відповідальністю «ПРОГРЕСТЕХ-УКРАЇНА») - українська / англійська	
G12 Авіаційна та ракетно-космічна техніка	Проєктування літаків, вертольотів та систем безпілотних літальних апаратів (з Акціонерним товариством «АНТОНОВ»)	
G19 Будівництво та цивільна інженерія	Промислове і цивільне будівництво з використанням штучного інтелекту - українська / англійська	
G2 Технології захисту навколишнього середовища	Технології забезпечення екологічної безпеки - українська / англійська	
G3 Електрична інженерія	Електротехнічні системи електроспоживання	
G5 Електроніка, електронні комунікації, приладобудування та радіотехніка	Електроніка (з AJAX SYSTEMS MANUFACTURING (Товариство з обмеженою відповідальністю «АДЖАКС СІСТЕМС МАНЮФЕКЧУРІНГ» та асоціацією «ЛЬВІВСЬКИЙ КЛАСТЕР ІНФОРМАЦІЙНИХ ТЕХНОЛОГІЙ ТА БІЗНЕС-ПОСЛУГ») - українська / англійська	
G5 Електроніка, електронні комунікації, приладобудування та радіотехніка	Телекомунікаційні системи та мережі (з HUAWEI - Товариство з обмеженою відповідальністю «ХУАВЕЙ УКРАЇНА»)	
G7 Автоматизація, комп’ютерно-інтегровані технології та робототехніка	Автоматизація, комп’ютерно-інтегровані технології та робототехніка	
G7 Автоматизація, комп’ютерно-інтегровані технології та робототехніка	Комп’ютеризовані системи управління та автоматика (з PROFI ROBOTICS (Товариством з обмеженою відповідальністю «ПРОФІ РОБОТИКС») та Приватним акціонерним товариством «ДТЕК КИЇВСЬКІ ЕЛЕКТРОМЕРЕЖІ») - українська / англійська	
J3 Туризм та рекреація	Логістика міжнародного туризму (з Товариством з обмеженою відповідальністю «ТРЕВЕЛ ПРОФЕШНЛ ГРУП» та Товариством з обмеженою відповідальністю "ФТП" ) - українська / англійська	
J3 Туризм та рекреація	Міжнародний туризм (з Товариством з обмеженою відповідальністю «Агентство «Пан-Укрейн») - українська / англійська	
J3 Туризм та рекреація	Туризмознавство	
