Заголовок:Списки рекомендованих до зарахування 2025 (ПЗСО, заочна)

Дата: ----------
URL: https://pk.kai.edu.ua/spysky-rekomendovanyh-do-zarahuvannya-2025-pzso-zaochna/
==================================================
Списки рекомендованих до зарахування 2025 (ПЗСО, заочна)
Код і назва спеціальності	Назва програми	Файл
B11 Філологія	Германські мови та літератури (філологія та переклад), англійська та німецька (з Товариством з обмеженою відповідальністю «ПОСТМОДЕРН» та FILM.UA (Товариством з обмеженою відповідальністю «ФІЛЬМ Ю ЕЙ ПРОДАКШН»))	
C1 Економіка та міжнародні економічні відносини	Економіка та міжнародні економічні відносини (з UGLA.UA та Товариством з обмеженою відповідальністю «ДТЕК СЕРВІС»)	
C1 Економіка та міжнародні економічні відносини	Економічна аналітика інструментами Data Science (з UGLA.UA)	
C4 Психологія	Психологія - українська / англійська	
D1 Облік і оподаткування	Облік і оподаткування (з SUP)	
D2 Фінанси, банківська справа, страхування та фондовий ринок	Фінанси, банківська справа, страхування та фондовий ринок (з SUP)	
D3 Менеджмент	Логістика (з Товариством з обмеженою відповідальністю «ФТП») - українська / англійська	
D3 Менеджмент	Менеджмент організацій (з Акціонерним товариством "УКРАЇНСЬКА ЗАЛІЗНИЦЯ") - українська / англійська	
D4 Публічне управління та адміністрування	Публічне управління та адміністрування (з Національною агенцією України з питань державної служби)	
D5 Маркетинг	Маркетинг (з Товариством з обмеженою відповідальністю «ДЖОІН-АП!» та Всеукраїнською громадською організацією «Всеукраїнська рекламна коаліція») - українська / англійська	
D7 Торгівля	Підприємництво (з Асоціацією митних брокерів України та Громадською організацією «Спілка підприємців малих, середніх і приватизованих підприємств України»)	
D8 Право	Право	
E2 Екологія	Екологія та охорона навколишнього середовища - українська / англійська	
F2 Інженерія програмного забезпечення	Інженерія програмного забезпечення (з EPAM (Товариство з обмеженою відповідальністю «ЕПАМ ЛТД») - українська / англійська	
F3 Комп'ютерні науки	Технології управління комп’ютерними системами	
F5 Кібербезпека та захист інформації	Безпека інформаційних і комунікаційних систем (з CYBER UNIT (Товариство з обмеженою відповідальністю «САЙБЕР ЮНІТ»))	
F7 Комп'ютерна інженерія	Комп'ютерні системи та мережі (з Товариством з обмеженою відповідальністю «ПАВУТИНА ІНТЕРНЕТ») - українська / англійська	
F7 Комп'ютерна інженерія	Робототехніка (з PROFI ROBOTICS LLC (Товариство з обмеженою відповідальністю «ПРОФІ РОБОТИКС»))	
G12 Авіаційна та ракетно-космічна техніка	Авіоніка (з Акціонерним товариством «АНТОНОВ») - українська / англійська	
G18 Геодезія та землеустрій	Геодезія, землеустрій, геоінформаційні системи	
G19 Будівництво та цивільна інженерія	Промислове і цивільне будівництво з використанням штучного інтелекту - українська / англійська	
G21 Біотехнології та біоінженерія	Фармацевтична та екологічна біотехнологія - українська / англійська	
G22 Біомедична інженерія	Біомедична інженерія (з Товариством з обмеженою відповідальністю «ХАРВІНД»)	
G5 Електроніка, електронні комунікації, приладобудування та радіотехніка	Системи мобільного зв’язку	
G5 Електроніка, електронні комунікації, приладобудування та радіотехніка	Телекомунікаційні системи та мережі (з HUAWEI - Товариство з обмеженою відповідальністю «ХУАВЕЙ УКРАЇНА»)	
I10 Соціальна робота та консультування	Соціальна робота та волонтерські проєкти (з Благодійною Організацією «Міжнародний благодійний фонд «Повернись живим») - українська / англійська	
J3 Туризм та рекреація	Міжнародний туризм (з Товариством з обмеженою відповідальністю «Агентство «Пан-Укрейн») - українська / англійська	
J6 Авіаційний транспорт	Бортовий супровід авіаційних пасажирських перевезень (з Товариством з обмеженою відповідальністю «АВІАКОМПАНІЯ СКАЙАП») - українська / англійська	
J6 Авіаційний транспорт	Мультимодальний транспорт і логістика (з Товариством з обмеженою відповідальністю «КОНСОЛЬЛАЙН УКРАЇНА») - українська / англійська	
J6 Авіаційний транспорт	Авіадиспетчер (з Державним підприємством «МІЖНАРОДНИЙ АЕРОПОРТ «БОРИСПІЛЬ») - українська / англійська	
J6 Авіаційний транспорт	Організація перевезень і управління на транспорті (з Державним підприємством «МІЖНАРОДНИЙ АЕРОПОРТ «БОРИСПІЛЬ») - українська / англійська	
J6 Авіаційний транспорт	Технічне обслуговування повітряних суден - українська / англійська	
K9 Правоохоронна діяльність	Правоохоронна діяльність	
