Заголовок:Навчально-методичні матеріали видані кафедрою за останні роки

Дата: ----------
URL: http://akik.nau.edu.ua/index.php?id=115
==================================================
Навчально-методичні матеріали видані кафедрою за останні роки

Дата випуску	Назва	Автор(и)
2005	Пілотажно-навігаційні комплекси повітряних суден Підручник	   Рогожин В.О.; Синєглазов В.М.Філяшкін М.К.
2019	Мікроелектромеханічні системи: Навчальний посібник	   Філяшкін М.К.
2003	Автоматизовані системи управління повітряних суден: Підручник	   Синєглазов В.М.; Філяшкін М.К.
2017	Програмне забезпечення моделювання систем цивільної авіації: Навчальний посібник	  Філяшкін М.К.; Калініченко В.В.; Кеменяш Ю.М.;
  Тупіцин М.Ф.
2011	Алгоритмічне забезпечення інерціально-супутникових систем навігаціїї: Монографія	   Захарін Ф.М.; Синєглазов В.М.; Філяшкін М.К.
2019	Теорія автоматичного керування : Навчальний посібник	   Аблесімов О. К.
2011	Теорія автоматичного керування: Методичні вказівки до виконання лабораторних робіт	   Аблесімов О. К.
2020	Дослідження мікроелектромеханічних систем: Методичні вказівки до виконання лабораторних робіт	   Василенко М.П.; Мухіна М.П.; Синєглазов В.М; Філяшкін М.К.
2014	Методичні вказівки щодо виконання курсового проекту з дисципліни "Основи автоматизованого керування рухом повітряних суден”	   Філяшкін М.К.
2018	Основи автоматизованого керування рухом повітряних суден: лабораторний практикум	   Козлов А.П.; Філяшкін М.К.
2009	Інерціально-супутникові навігаційні системи	   Філяшкін М.К.; Рогожин В.О.; Скрипець А.В.; Лукінова Т.І.
2017	Комп'ютерні технології та програмування: Навчальний посібник	   Юрченко О. С., Синєглазов В. М.
2007	Комп'ютерні технології. Розширення можливостей інтерфейсу користувача: Лабораторний практикум	   Юрченко О. С., Синєглазов В. М.
2013	Electronics and Microprocessor Technology. Electronics: Manual	   Sergeyev I.Yu.
2021	Electronics and Circuit Technology. English/Russian: Manual	   Sergeyev I.Yu.
2010	Aircraft Active Control Systems. Study Guide	   Sineglazov V. M., Filyashkin Μ. К., Tupitsin M. F., Gurska О. О.
2012	Графічне і геометричне моделювання та інтерактивні системи: Навчальний посібник	   Тупіцин М.Ф., Луцький М.Г.
2012	Сучасна теорія керування: Методичні вказівки до лабораторних робіт Частина І.	   Аблесімов О. К.
2013	Сучасна теорія керування: Методичні вказівки до лабораторних робіт Частина IІ.	   Аблесімов О. К.
2015	Автономні системи навігації конкретного типу повітряного судна та їх технічне обслуговування	   Рогожин В.О.; Скрипець А.В.; Філяшкін М.К.; Мухіна М.П.
2017	Memristors and nonvolatile random access memory (NVRAM) in nanoelectronics	   Sineglazov V. M.; Zelenkov A. A.; Askerov Sh. I.
2015	Відновлювальна енергетика	   Синєглазов В. М. та інші
2015	Автоматизація технологічних процесів. Навч. посібник	   Синєглазов В.М., Сергеєв І.Ю.
2021	Airplane Autonomous Navigation Systems: Manual	   Mukhina M.P., Rogozhyn V.O., Skrypets A.V., Filiashkin M.K.
2006	Графічне і геометричне моделювання та інтерактивні системи. Методичні рекомендації до виконання курсової роботи	   Тупіцин М.Ф., Козлов А.П.
2015	Теорія ідентифікації	   Синєглазов В.М., Сільверстов А.М.
2022	Дослідження систем автоматичного управління повітряних суден:   Лабораторний практикум	   Бортін Є.П., Філяшкін М.К.
2023	Методичні вказівки до виконання кваліфікаційних робіт	   М. К. Філяшкін, О.І. Смирнов, М.П. Василенко
2023	Шаблон титулки кваліфікаційної роботи бакалавра	  
2023	Шаблон титулки кваліфікаційної роботи магістра	  
2023	Шаблон завдання на виконання кваліфікаційної роботи	  
2023	Приклад реферату	  
